,precision,recall,f1-score,support
inform,1,0.529411765,0.692307692,17
animal,1,0.5,0.666666667,16
hospital,1,0.411764706,0.583333333,17
psychology,1,0.117647059,0.210526316,17
always,1,0.058823529,0.111111111,17
topple,0.9,0.5625,0.692307692,16
single,0.9,0.529411765,0.666666667,17
garden,0.888888889,0.470588235,0.615384615,17
mince,0.833333333,0.3125,0.454545455,16
wall,0.833333333,0.3125,0.454545455,16
allright,0.833333333,0.294117647,0.434782609,17
rent,0.833333333,0.294117647,0.434782609,17
cologne,0.823529412,0.933333333,0.875,15
love,0.818181818,0.529411765,0.642857143,17
bed,0.818181818,0.529411765,0.642857143,17
far,0.8,0.5,0.615384615,16
coal,0.8,0.470588235,0.592592593,17
no,0.8,0.235294118,0.363636364,17
push,0.777777778,0.411764706,0.538461538,17
be_pleased,0.777777778,0.411764706,0.538461538,17
friday,0.777777778,0.411764706,0.538461538,17
band-aid,0.75,0.352941176,0.48,17
napkin,0.75,0.214285714,0.333333333,14
egg,0.75,0.176470588,0.285714286,17
border,0.75,0.176470588,0.285714286,17
holiday,0.75,0.176470588,0.285714286,17
evil,0.727272727,0.470588235,0.571428571,17
ceiling,0.722222222,0.764705882,0.742857143,17
escape,0.692307692,0.529411765,0.6,17
football,0.666666667,0.470588235,0.551724138,17
congratulations,0.666666667,0.285714286,0.4,14
petrol,0.666666667,0.235294118,0.347826087,17
child,0.666666667,0.235294118,0.347826087,17
bring,0.666666667,0.117647059,0.2,17
war,0.666666667,0.117647059,0.2,17
flour,0.666666667,0.117647059,0.2,17
photograph,0.625,0.666666667,0.64516129,15
brother,0.625,0.294117647,0.4,17
married,0.6,0.1875,0.285714286,16
teapot,0.6,0.1875,0.285714286,16
fork,0.571428571,0.235294118,0.333333333,17
show,0.555555556,0.3125,0.4,16
book,0.555555556,0.294117647,0.384615385,17
breakfast,0.55,0.647058824,0.594594595,17
comb,0.545454545,0.352941176,0.428571429,17
potato,0.545454545,0.352941176,0.428571429,17
screwdriver,0.545454545,0.352941176,0.428571429,17
wise,0.545454545,0.352941176,0.428571429,17
get_well,0.533333333,0.5,0.516129032,16
umbrella,0.533333333,0.470588235,0.5,17
window,0.526315789,0.588235294,0.555555556,17
pharmacy,0.5,0.470588235,0.484848485,17
cotton,0.5,0.294117647,0.37037037,17
where,0.5,0.294117647,0.37037037,17
needle,0.5,0.2,0.285714286,15
house,0.5,0.176470588,0.260869565,17
tomorrow,0.5,0.117647059,0.19047619,17
room,0.5,0.117647059,0.19047619,17
towel,0.472222222,1,0.641509434,17
male,0.461538462,0.352941176,0.4,17
trousers,0.458333333,0.647058824,0.536585366,17
ugly,0.454545455,0.588235294,0.512820513,17
kin,0.444444444,0.5,0.470588235,16
enemy,0.444444444,0.25,0.32,16
fault,0.444444444,0.235294118,0.307692308,17
feast,0.434782609,0.588235294,0.5,17
telephone,0.428571429,0.529411765,0.473684211,17
who,0.416666667,0.294117647,0.344827586,17
halal,0.416666667,0.294117647,0.344827586,17
labor,0.409090909,0.642857143,0.5,14
meal,0.4,0.352941176,0.375,17
tailor,0.4,0.266666667,0.32,15
bill,0.375,0.2,0.260869565,15
right,0.375,0.176470588,0.24,17
identity,0.363636364,0.235294118,0.285714286,17
stairs,0.357142857,0.333333333,0.344827586,15
key,0.357142857,0.3125,0.333333333,16
never,0.357142857,0.294117647,0.322580645,17
together,0.357142857,0.294117647,0.322580645,17
glove,0.357142857,0.294117647,0.322580645,17
heavy,0.357142857,0.294117647,0.322580645,17
ill,0.35483871,0.647058824,0.458333333,17
star,0.35,0.411764706,0.378378378,17
elephant,0.347826087,0.5,0.41025641,16
full,0.333333333,0.411764706,0.368421053,17
friend,0.333333333,0.333333333,0.333333333,15
work,0.333333333,0.3125,0.322580645,16
wallet,0.333333333,0.235294118,0.275862069,17
help,0.333333333,0.214285714,0.260869565,14
stain,0.333333333,0.176470588,0.230769231,17
if_only,0.333333333,0.176470588,0.230769231,17
yesterday,0.333333333,0.176470588,0.230769231,17
weighted avg,0.32455862,0.256485691,0.257419345,3739
macro avg,0.323629679,0.25606555,0.256984304,3739
retired,0.321428571,0.529411765,0.4,17
sauce,0.318181818,0.4375,0.368421053,16
slow,0.318181818,0.411764706,0.358974359,17
smell,0.307692308,0.285714286,0.296296296,14
tuesday,0.307692308,0.235294118,0.266666667,17
bridge,0.3,0.176470588,0.222222222,17
gift,0.294117647,0.294117647,0.294117647,17
they,0.294117647,0.294117647,0.294117647,17
time,0.285714286,0.352941176,0.315789474,17
past,0.285714286,0.125,0.173913043,16
I,0.285714286,0.117647059,0.166666667,17
danger,0.285714286,0.117647059,0.166666667,17
sad,0.272727273,0.352941176,0.307692308,17
hungry,0.272727273,0.352941176,0.307692308,17
lake,0.272727273,0.1875,0.222222222,16
not_interested,0.272727273,0.176470588,0.214285714,17
orange,0.272727273,0.176470588,0.214285714,17
do,0.272727273,0.176470588,0.214285714,17
mirror,0.266666667,0.470588235,0.340425532,17
lightweight,0.266666667,0.363636364,0.307692308,11
wednesday,0.266666667,0.235294118,0.25,17
tea,0.263157895,0.294117647,0.277777778,17
scales,0.260869565,0.352941176,0.3,17
light,0.258064516,0.5,0.340425532,16
accuracy,0.256485691,0.256485691,0.256485691,0.256485691
manager,0.25,0.411764706,0.311111111,17
grandfather,0.25,0.235294118,0.242424242,17
money,0.25,0.176470588,0.206896552,17
nope,0.25,0.176470588,0.206896552,17
salary,0.25,0.117647059,0.16,17
toilet,0.242424242,0.470588235,0.32,17
milk,0.236363636,0.764705882,0.361111111,17
tree,0.234042553,0.647058824,0.34375,17
turkey,0.233333333,0.4375,0.304347826,16
hour,0.230769231,0.176470588,0.2,17
change,0.230769231,0.176470588,0.2,17
difficult,0.222222222,0.470588235,0.301886792,17
dog,0.222222222,0.352941176,0.272727273,17
thanks,0.222222222,0.235294118,0.228571429,17
crossroads,0.222222222,0.235294118,0.228571429,17
door,0.222222222,0.235294118,0.228571429,17
accident,0.222222222,0.125,0.16,16
enjoy_your_meal,0.206896552,0.352941176,0.260869565,17
father,0.2,0.5625,0.295081967,16
shirt,0.2,0.125,0.153846154,16
hat,0.2,0.117647059,0.148148148,17
tongs,0.2,0.0625,0.095238095,16
see,0.2,0.058823529,0.090909091,17
picnic,0.195121951,0.470588235,0.275862069,17
alone,0.192307692,0.294117647,0.23255814,17
unwise,0.189655172,0.647058824,0.293333333,17
memorize,0.189189189,0.466666667,0.269230769,15
hurry,0.1875,0.1875,0.1875,16
apologize,0.185185185,0.294117647,0.227272727,17
pastrami,0.176470588,0.176470588,0.176470588,17
tired,0.166666667,0.352941176,0.226415094,17
we,0.166666667,0.117647059,0.137931034,17
school,0.166666667,0.117647059,0.137931034,17
minute,0.166666667,0.071428571,0.1,14
sister,0.166666667,0.0625,0.090909091,16
promise,0.166666667,0.058823529,0.086956522,17
radiator,0.166666667,0.058823529,0.086956522,17
monday,0.166666667,0.058823529,0.086956522,17
wedding,0.157894737,0.1875,0.171428571,16
why,0.157894737,0.176470588,0.166666667,17
hi,0.157894737,0.176470588,0.166666667,17
lap,0.157894737,0.176470588,0.166666667,17
look,0.153846154,0.117647059,0.133333333,17
absent,0.153846154,0.117647059,0.133333333,17
hammer,0.153846154,0.117647059,0.133333333,17
wait,0.15,0.529411765,0.233766234,17
cook,0.146341463,0.352941176,0.206896552,17
doctor,0.142857143,0.1,0.117647059,10
wood,0.142857143,0.058823529,0.083333333,17
existing,0.136363636,0.176470588,0.153846154,17
date,0.136363636,0.176470588,0.153846154,17
sibling,0.133333333,0.235294118,0.170212766,17
glass,0.132075472,0.4375,0.202898551,16
road,0.125,0.117647059,0.121212121,17
angel,0.117647059,0.352941176,0.176470588,17
fasting,0.114285714,0.25,0.156862745,16
laugh,0.114285714,0.235294118,0.153846154,17
soap,0.111111111,0.176470588,0.136363636,17
medicine,0.111111111,0.176470588,0.136363636,17
carpet,0.111111111,0.117647059,0.114285714,17
soup,0.111111111,0.117647059,0.114285714,17
okay,0.111111111,0.0625,0.08,16
same,0.111111111,0.058823529,0.076923077,17
wrong,0.105263158,0.117647059,0.111111111,17
forest,0.1,0.529411765,0.168224299,17
scissors,0.090909091,0.066666667,0.076923077,15
shopping,0.086956522,0.266666667,0.131147541,15
drink,0.08,0.117647059,0.095238095,17
flag,0.076923077,0.125,0.095238095,16
god_preserve,0.076923077,0.058823529,0.066666667,17
grandmother,0.076923077,0.058823529,0.066666667,17
cry,0.071428571,0.058823529,0.064516129,17
voice,0.071428571,0.058823529,0.064516129,17
thursday,0.066666667,0.176470588,0.096774194,17
oven,0.066666667,0.117647059,0.085106383,17
honey,0.0625,0.0625,0.0625,16
tap,0.052631579,0.117647059,0.072727273,17
request,0.047619048,0.058823529,0.052631579,17
family,0.038461538,0.058823529,0.046511628,17
pillow,0.030769231,0.117647059,0.048780488,17
baby,0.027027027,0.058823529,0.037037037,17
eat,0.016129032,0.125,0.028571429,16
ataturk,0,0,0,14
shoe,0,0,0,16
forbidden,0,0,0,17
government,0,0,0,16
goodbye,0,0,0,17
bad,0,0,0,17
good,0,0,0,17
pencil,0,0,0,16
female,0,0,0,17
mother,0,0,0,17
tax,0,0,0,17
guest,0,0,0,17
how,0,0,0,16
near,0,0,0,14
say,0,0,0,16
teacher,0,0,0,17
olympiad,0,0,0,17
sunday,0,0,0,17
police,0,0,0,17
yes,0,0,0,15
champion,0,0,0,17
sugar,0,0,0,11
sweet,0,0,0,17
you,0,0,0,16
free,0,0,0,17
saturday,0,0,0,17
belt,0,0,0,17
