,precision,recall,f1-score,support
animal,1,0.4375,0.608695652,16
hospital,1,0.352941176,0.52173913,17
bridge,1,0.176470588,0.3,17
psychology,1,0.117647059,0.210526316,17
sweet,1,0.117647059,0.210526316,17
book,1,0.117647059,0.210526316,17
wallet,1,0.117647059,0.210526316,17
saturday,1,0.117647059,0.210526316,17
slow,1,0.058823529,0.111111111,17
be_pleased,0.857142857,0.352941176,0.5,17
free,0.8,0.235294118,0.363636364,17
monday,0.75,0.176470588,0.285714286,17
war,0.75,0.176470588,0.285714286,17
lap,0.75,0.176470588,0.285714286,17
apologize,0.666666667,0.470588235,0.551724138,17
congratulations,0.666666667,0.142857143,0.235294118,14
memorize,0.666666667,0.133333333,0.222222222,15
money,0.666666667,0.117647059,0.2,17
alone,0.666666667,0.117647059,0.2,17
photograph,0.625,0.333333333,0.434782609,15
push,0.571428571,0.235294118,0.333333333,17
cologne,0.5625,0.6,0.580645161,15
friend,0.555555556,0.333333333,0.416666667,15
mince,0.545454545,0.375,0.444444444,16
door,0.5,0.235294118,0.32,17
god_preserve,0.5,0.176470588,0.260869565,17
salary,0.5,0.176470588,0.260869565,17
time,0.5,0.176470588,0.260869565,17
radiator,0.5,0.117647059,0.19047619,17
meal,0.5,0.117647059,0.19047619,17
trousers,0.5,0.117647059,0.19047619,17
petrol,0.454545455,0.294117647,0.357142857,17
turkey,0.444444444,0.25,0.32,16
far,0.444444444,0.25,0.32,16
house,0.428571429,0.176470588,0.25,17
friday,0.428571429,0.176470588,0.25,17
fault,0.416666667,0.294117647,0.344827586,17
border,0.416666667,0.294117647,0.344827586,17
football,0.4,0.470588235,0.432432432,17
sister,0.4,0.25,0.307692308,16
rent,0.4,0.117647059,0.181818182,17
show,0.380952381,0.5,0.432432432,16
wall,0.375,0.1875,0.25,16
brother,0.375,0.176470588,0.24,17
comb,0.375,0.176470588,0.24,17
champion,0.375,0.176470588,0.24,17
halal,0.375,0.176470588,0.24,17
window,0.368421053,0.411764706,0.388888889,17
flour,0.357142857,0.294117647,0.322580645,17
feast,0.346153846,0.529411765,0.418604651,17
fork,0.333333333,0.294117647,0.3125,17
garden,0.333333333,0.235294118,0.275862069,17
thanks,0.333333333,0.235294118,0.275862069,17
angel,0.333333333,0.176470588,0.230769231,17
carpet,0.333333333,0.117647059,0.173913043,17
pillow,0.333333333,0.117647059,0.173913043,17
love,0.333333333,0.117647059,0.173913043,17
bill,0.333333333,0.066666667,0.111111111,15
towel,0.315789474,0.352941176,0.333333333,17
dog,0.307692308,0.235294118,0.266666667,17
wait,0.3,0.176470588,0.222222222,17
grandfather,0.285714286,0.470588235,0.355555556,17
stain,0.285714286,0.235294118,0.258064516,17
coal,0.285714286,0.235294118,0.258064516,17
together,0.285714286,0.117647059,0.166666667,17
topple,0.272727273,0.1875,0.222222222,16
identity,0.272727273,0.176470588,0.214285714,17
breakfast,0.268292683,0.647058824,0.379310345,17
inform,0.25,0.647058824,0.360655738,17
sauce,0.25,0.375,0.3,16
ill,0.25,0.352941176,0.292682927,17
needle,0.25,0.066666667,0.105263158,15
help,0.214285714,0.214285714,0.214285714,14
heavy,0.214285714,0.176470588,0.193548387,17
umbrella,0.210526316,0.235294118,0.222222222,17
telephone,0.210526316,0.235294118,0.222222222,17
weighted avg,0.204349217,0.131051083,0.133062065,3739
macro avg,0.203465739,0.130775043,0.132779531,3739
star,0.2,0.176470588,0.1875,17
tailor,0.2,0.133333333,0.16,15
get_well,0.2,0.125,0.153846154,16
single,0.2,0.117647059,0.148148148,17
minute,0.2,0.071428571,0.105263158,14
band-aid,0.2,0.058823529,0.090909091,17
holiday,0.2,0.058823529,0.090909091,17
bring,0.2,0.058823529,0.090909091,17
tomorrow,0.2,0.058823529,0.090909091,17
sunday,0.2,0.058823529,0.090909091,17
tree,0.1875,0.529411765,0.276923077,17
stairs,0.1875,0.2,0.193548387,15
sibling,0.1875,0.176470588,0.181818182,17
who,0.181818182,0.235294118,0.205128205,17
escape,0.181818182,0.235294118,0.205128205,17
room,0.181818182,0.117647059,0.142857143,17
elephant,0.173913043,0.25,0.205128205,16
request,0.166666667,0.294117647,0.212765957,17
never,0.166666667,0.176470588,0.171428571,17
forbidden,0.166666667,0.176470588,0.171428571,17
lightweight,0.166666667,0.090909091,0.117647059,11
napkin,0.166666667,0.071428571,0.1,14
how,0.166666667,0.0625,0.090909091,16
tea,0.15625,0.294117647,0.204081633,17
gift,0.153846154,0.117647059,0.133333333,17
pharmacy,0.15,0.176470588,0.162162162,17
teapot,0.148148148,0.25,0.186046512,16
evil,0.148148148,0.235294118,0.181818182,17
tongs,0.142857143,0.3125,0.196078431,16
retired,0.142857143,0.235294118,0.177777778,17
glass,0.142857143,0.1875,0.162162162,16
enjoy_your_meal,0.142857143,0.176470588,0.157894737,17
mother,0.142857143,0.058823529,0.083333333,17
manager,0.137931034,0.235294118,0.173913043,17
tap,0.137931034,0.235294118,0.173913043,17
accuracy,0.131051083,0.131051083,0.131051083,0.131051083
tuesday,0.125,0.058823529,0.08,17
milk,0.121212121,0.235294118,0.16,17
tired,0.111111111,0.058823529,0.076923077,17
soup,0.107142857,0.176470588,0.133333333,17
kin,0.1,0.0625,0.076923077,16
wood,0.1,0.058823529,0.074074074,17
labor,0.092592593,0.357142857,0.147058824,14
shirt,0.090909091,0.0625,0.074074074,16
date,0.090909091,0.058823529,0.071428571,17
I,0.086956522,0.117647059,0.1,17
scissors,0.083333333,0.066666667,0.074074074,15
you,0.076923077,0.0625,0.068965517,16
tax,0.071428571,0.058823529,0.064516129,17
danger,0.071428571,0.058823529,0.064516129,17
father,0.066666667,0.0625,0.064516129,16
change,0.0625,0.058823529,0.060606061,17
laugh,0.058823529,0.058823529,0.058823529,17
thursday,0.057142857,0.117647059,0.076923077,17
enemy,0.055555556,0.0625,0.058823529,16
if_only,0.048780488,0.117647059,0.068965517,17
family,0.047619048,0.117647059,0.06779661,17
oven,0.047619048,0.058823529,0.052631579,17
baby,0.045454545,0.058823529,0.051282051,17
eat,0.044444444,0.25,0.075471698,16
fasting,0.043478261,0.1875,0.070588235,16
flag,0.043478261,0.125,0.064516129,16
we,0.043478261,0.058823529,0.05,17
cook,0.0390625,0.294117647,0.068965517,17
shopping,0.036363636,0.133333333,0.057142857,15
scales,0.035714286,0.117647059,0.054794521,17
hammer,0.034482759,0.058823529,0.043478261,17
forest,0.034220532,0.529411765,0.064285714,17
unwise,0.033333333,0.117647059,0.051948052,17
toilet,0.033333333,0.058823529,0.042553191,17
ugly,0.027777778,0.058823529,0.037735849,17
light,0.023584906,0.3125,0.043859649,16
absent,0.023255814,0.117647059,0.038834951,17
ceiling,0.019480519,0.176470588,0.035087719,17
